DOC CODE,DOC DESCRIPTION,PROP,FIRST PARTY,SECOND PARTY,AMOUNT,COMMENTS
OP,OPTION AGREEMENT,O,granting option (sig.),granted to,N,"*If all sign & no definition made, index all as grantor/grantee"
LIC,OPTOMETRISTS LICENSE/CERTIFICATE,O,issuing party,issued to ,N,
 OD,ORDER   (CERTIFIED COPY OF),O,signatory party ,issued to &/or about,N,"*IF this is a suit,  Grantor- Plaintiff  -  Grantee- Defendant
*IF this is a single party suit,    Grantee- PUBLIC
***IF this concerns a PROBATE Case – move to PROBATE PROCEEDINGS for all indexing information."
OD,"ORDER DECLARING RESULTS OF AN ELECTION HELD TO CHANGE THE STATUS OF A COMMUNITY, or just an ORDER INCORPORATING A CITY OR TOWN etc.",O,"Name of Community, Town, City, Both OLD and New Name, if given.","""PUBLIC""",N,
PB,ORDER FIXING INHERITANCE TAX,O,estate  (used Deceased and/or Estate after Name as shown on document),"""PUBLIC""",N,
ROD,ORDER FOR REMOVAL OF DISABILITIES,O,Party for whom Disabilities are being Removed,"""PUBLIC""",N,
JUD,ORDER OF JUDGMENT,O,Plaintiff,"Defendant *If single party suit, Grantee- ""PUBLIC""",N,*use certified copy date as i/date
OD,ORDER or APPLICATION GRANTING FORECLOSURE,O,Applicant (usually found in 1st sentence),Defaulting parties  (found above 1st sentence on left side of document),N,"*use certified copy date as i/date 
* This is not an ordinary Suit, so I don’t think F/K/A etc names should be indexed."
ORD,ORDINANCE,O,signature (government agency),"ORDINANCE # (key:  ORDINANCE #759-31)  Or ""PUBLIC""",N,"*If Ordinance is for allowing assessments for improvements, see the proper lien (Paving Lien, Mowing Lien etc)
*If Ordinance is actually saying that an area is ‘hereby annexed into whatever” See the instructions for Annexation)"
AG,OWNERS TITLE POLICY COMMITMENT,O,signatory party,party policy issued to,N,
PAS,PARTIAL ASSIGNMENT,O,"assignor (sig.) & borrower, if any",assignee (assigned unto),N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
PAS,PARTIAL ASSIGNMENT & BILL OF SALE,O,"assignor (sig.) & borrower, if any",assignee (assigned unto),N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
PAJ,PARTIAL ASSIGNMENT OF JUDGMENT,O,assignor (sig.) & Debtor (recovered against),assignee (assigned unto),N,
PLS,PARTIAL ASSIGNMENT OF LEASE,O,assignor (sig.),assignee (assigned unto),N,
PLS,PARTIAL ASSIGNMENT OF LEASE INTEREST,O,assignor (sig.),assignee (assigned unto),N,
PAL,PARTIAL ASSIGNMENT OF LIEN,O,assignor (sig.) & borrower,assignee (assigned unto),N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
PLS,PARTIAL ASSIGNMENT OF OIL & GAS LEASE,O,assignor (sig.),assignee (assigned unto),N,
PAS,PARTIAL ASSIGNMENT OF OIL & GAS LEASE AND BILL OF SALE,O,assignor (sig.),assignee (assigned unto),N,
ASR,PARTIAL ASSIGNMENT OF OVERRIDING ROYALTY,O,assignor (sig.),assignee (assigned unto),N,
PLS,PARTIAL ASSIGNMENT OF WORKING INTEREST,O,assignor (sig.),assignee (assigned unto),N,
PAS,"PARTIAL ASSIGNMENT, CONVEYANCE & BILL OF SALE",O,"assignor (sig.) & borrower, if any",assignee (assigned unto),N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
DCL,PARTIAL DISCLAIMER,O,signatory party ,disclaimed to,N,
PAS,PARTIAL REASSIGNMENT ,O,"assignor (sig.) & borrower, if any",assignee (assigned unto),N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
PAR,PARTIAL RELEASE,O,signatory party ,being released,N,
PLC,PARTIAL RELEASE OF ABSTRACT OF ASSESSMENT,O,"""TEXAS STATE OF""  (or State involved)",assessed employer/party,N,
PLC,PARTIAL RELEASE OF ASSESSMENT FOR WATER/SEWER,O,signature   (usually City or Homeowners Association),being released   (claimed against),N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien Contract has been established, please see Partial Release of Mechanics Lien (PR)  for code & instructions."
PLC,PARTIAL RELEASE OF ASSESSMENT LIEN,O,signature   (usually City or Homeowners Association),being released   (claimed against),N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien Contract has been established, please see Partial Release of Mechanics Lien (PR)  for code & instructions."
PLC,PARTIAL RELEASE OF ASSESSMENT LIEN FOR PAVING ,O,signature  (usually City),"being released  (claimed against) – IF no claimed against Party given, but does have street(s) that have been paved, use street names as grantee",N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien Contract has been established, please see Partial Release of Mechanics Lien (PR) for code & instructions."
PCS,PARTIAL RELEASE OF CHILD SUPPORT LIEN,O,signature  (usually State) & other party claiming lien (Not  the child),claimed against,N,
PAR,PARTIAL RELEASE OF COLLATERAL ASSIGNMENT/TRANSFER,O,signatory party ,being released,N,
PR,PARTIAL RELEASE OF DEED OF TRUST,O,lender (sig.),borrower (being released),N,
PEW,PARTIAL RELEASE OF EASEMENT,O,signatory party ,being released,N,
PFT,PARTIAL RELEASE OF FEDERAL TAX LIEN,O,"government agency    (""U S A INTERNAL REVENUE SERVICE"")",taxpayer,O,
PRJ,PARTIAL RELEASE OF JUDGMENT,O,party releasing  (sig.),being released  (debtor)  ,N,"*If Attorney signing, key attorney Only if attorney was a recovering party or is stated to be the owner of the indebtedness.  Do not key the Attorney if Only signing for the recovering party."
PLC,PARTIAL RELEASE OF LABOR LIEN,O,signatory party ,being released (claimed against) ,N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien
  Contract has been established, please see Partial Release of Mechanics Lien (PR)
  for code & instructions."
PRL,PARTIAL RELEASE OF LEASE,O,signatory party ,"being released   (released party is usually the lessor, land owner)",N,
PR,PARTIAL RELEASE OF LEIN (FOR IMPROVEMENT AGREEMENT) ((between theCity & Property Developer (owner)),O,all signatures,Subdivision Name,N,"***If this doc. involves other than a City & a Developer/Property Owner(s)
      please check further before using this instruction.
   ********THIS IS NOT THE SAME THING AS A “PARTIAL RELEASE of     CONTRACT FOR IMPROVEMENTS”BETWEEN AN OWNER & 
   CONTRACTOR "
PR,PARTIAL RELEASE OF LIEN,O,lender (sig.),"borrower (being released, lien executed by)",N,
PLC,PARTIAL RELEASE OF LIEN AFFIDAVIT,O,signatory party ,being released (claimed against),N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien
  Contract has been established, please see Partial Release of Mechanics Lien (PR) 
 for code & instructions."
PLC,PARTIAL RELEASE OF LIEN CLAIM,O,signatory party ,being released (claimed against),N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien
  Contract has been established, please see Partial Release of Mechanics Lien (PR) 
 for code & instructions."
PLC,PARTIAL RELEASE OF LIEN NOTICE,O,signatory party ,being released (claimed against),N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien
  Contract has been established, please see Partial Release of Mechanics Lien (PR) 
 for code & instructions."
PLP,PARTIAL RELEASE OF LIS PENDENS,O,signatory party (usually Plaintiff),being released  (usually Defendant),N,
PLC,PARTIAL RELEASE OF MATERIALMANS LIEN (Claim),O,signatory party ,being released  (claimed against),N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien
  Contract has been established, please see Partial Release of Mechanics Lien (PR) 
 for code & instructions."
PLC,PARTIAL RELEASE OF MECHANICS & MATERIALMANS LIEN (Claim),O,signatory party ,being released  (claimed against),N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien
  Contract has been established, please see Partial Release of Mechanics Lien (PR) 
 for code & instructions."
PLC,PARTIAL RELEASE OF MECHANICS LIEN AFFIDAVIT,O,signatory party ,being released  (claimed against),N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien
  Contract has been established, please see Partial Release of Mechanics Lien (PR) 
 for code & instructions."
PR,PARTIAL RELEASE OF MECHANICS LIEN CONTRACT,O,lender (sig.),"borrower (being released, lien executed by)",N,
PRL,PARTIAL RELEASE OF OIL & GAS LEASE,O,signatory party ,"being released   (released party is usually the lessor, land owner)",N,
PRL,PARTIAL RELEASE OF OIL & GAS LEASE,O,signatory party ,"being released   (released party is usually the lessor, land owner)",N,
PAR,PARTIAL RELEASE OF OIL & GAS LEASE & DEED OF TRUST   ,O,signatory party ,"being released, should be the lessor/borrower",N,
PLC,PARTIAL RELEASE OF PAVING LIEN,O,signature  (usually City),"being released  (claimed against) – If concerns Paving Lien and IF no claimed against Party given, but does have street(s) that have been paved, use street names as grantee",N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien
  Contract has been established, please see Partial Release of Mechanics Lien (PR) 
 for code & instructions."
PLC,PARTIAL RELEASE OF PRIVILEGED LIEN,O,signature  (usually City),"being released  (claimed against) – If concerns Paving Lien and IF no claimed against Party given, but does have street(s) that have been paved, use street names as grantee",N,"*IF Assessment (claim) has been transferred to a Contractor & a Mechanics Lien
  Contract has been established, please see Partial Release of Mechanics Lien (PR) 
 for code & instructions."
RPP,PARTIAL RELEASE OF PRODUCTION PAYMENT,O,signatory party ,being released ,N,
PRR,PARTIAL RELEASE OF RESTRICTIVE COVENANTS,O,signatory party  ,"Property name & released to, if any",N,
PEW,PARTIAL RELEASE OF RIGHT OF WAY,O,signatory party ,being released,N,
PEW,PARTIAL RELEASE OF RIGHT OF WAY EASEMENT,O,signatory party ,being released,N,
PST,PARTIAL RELEASE OF STATE TAX LIEN,O,"government agency     (""TEXAS STATE OF"")",taxpayer,N,
PTX,PARTIAL RELEASE OF TAX LIEN,O,government agency,taxpayer,N,*use for other than State you are indexing & Federal Government
SUB,PARTIAL SUBORDINATION OF LIEN,O,"signature  (subordinating, inferior party)",subordinated to  (superior party),N,
TL,PARTIAL TRANSFER OF LIEN,O,signatory party  & borrower,transferred to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
PVP,PARTIAL VACATION OF PLAT,O,"sig., usually the Surveyor (show title) & Property Owner (if given) and property name","sig., usually the Surveyor (show title) & Property Owner (if given) and property name",N,
PAA,PARTITION AGREEMENT,O,signatures,"signatures 
*If only one party signs use other party as Grantee",N,
PD,PARTITION DEED,O,signatory party ,deeded to,N,"*If there are multiple ‘grant sell & convey’ clauses &, IF all property from a single
    Survey; Index Survey Name with No Acreage, Otherwise Index property as MUL"
PAG,PARTNERSHIP AGREEMENT,O,signatory parties,new business,N,
AG,PARTY WALL AGREEMENT  (Common Wall),O,signatures,signatures OR other party,N,
PAT,PATENT  ,O,signature  (usually the State),patent issued to,N,*use certified copy date for i/date
LC,PAVING LIEN (Claim),O,signature  (usually a City),"claimed against,  -  IF no claimed against party given, but does have street(s) being   paved,  use street names as grantee",N,
ML,"PAVING LIEN CONTRACT (this would be a Contract, Not a Claim)",O,Signature,contractor,N,
PE,PERMIT,O,signatory party ,given to,N,
PEO,PERMIT & OPTION,O,signatory party ,given to,N,
PET,PETITION,O,party petitioning (sig.),being petitioned,N,
PET,PETITION BY AN ADULT TO BE ADOPTED ,O,party petitioning to be allowed to be adopted,"""PUBLIC""",N,
ROD,PETITION FOR REMOVAL OF DISABILITIES ,O,party FOR WHOM disabilities are being removed,"""PUBLIC""",N,
AG,PIPELINE AGREEMENT,O,signatory party,party rights given to,N,
AG,PIPELINE RELOCATION AGREEMENT,O,signatory party,party rights given to,N,*If relocation agreement will need reference to orig. agreement.
PL,PLAT,O,property owner (Dedicator) and property name.,property owner (Dedicator) and property/addition name.,N,"If No Owner
Grantor- Property Name **
Grantee- Public & plat filing
information, if given
ex:  PUBLIC CABINET-G SLIDE-61 
 ** If info. coming from a write-up sheet by the County index Property Name as shown, but be sure it starts with the Subdivision Name.  If name has more property desc. than will fit on 1 line Drop property description from the name.
Example:  Plat Name:  Lambert Properties Addition Block 1 Lot 1
*index on property format  as Addition Name Only
* Do not index underlying property from the tax certificate pages that are often attached."
FN,PLAT & FIELD NOTES,O,"sig., usually the Surveyor (show title) & Property Owner (if given) and property name","sig., usually the Surveyor (show title) & Property Owner (if given) and property name",N,*IF there is a owners certificate & the City approval for the Plat then the document    would actually be a PL = PLAT at this time we have seen Only 1 like this in Hunt    backfile/re-indexing  (time – 02/06/2009)
FN,PLAT & FIELD NOTES,O,"sig., usually the Surveyor (show title) & Property Owner (if given) and property name","sig., usually the Surveyor (show title) & Property Owner (if given) and property name",N,*IF there is a owners certificate & the City approval for the Plat then the document would actually be a PL = PLAT at this time we have seen Only 1 like this in Hunt    re-indexing (time – 02/06/2009)
SP,PLAT BY SURVEYOR ONLY (SURVEY PLAT),O,"sig., usually the Surveyor (show title) & Property Owner (if given) and property name","sig., usually the Surveyor (show title) & Property Owner (if given) and property name",N,*IF there is a owners certificate & the City approval for the Plat then the document    would actually be a PL = PLAT at this time we have seen Only 1 like this in Hunt    backfile/re-indexing  (time – 02/06/2009)
PLVR,PLAT VACATE AND REPLAT,O,"sig., usually the Surveyor (show title) & Property Owner (if given) and property name",Property name being vacated and name of Replat and signature,N,
PLE,PLEDGE,O,signature,"party pledge given to  OR ""PUBLIC""",N,
LIC,POLYGRAPH LICENSE/CERTIFICATE,O,issuing party,issued to,N,
UA,POOLED UNIT DECLARATION,O,"signature- usually property owner, mineral owner, or royalty owner.  ",Unit name  OR if no Unit Name index LESSEE (Current Lessee,N," IF Lessee or Operator also sign, index as additional Grantees not Grantors.
 IF Title shows  Lease Being Ratified, Index both Unit Name and Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
  GRANTOR- LESSEE
  GRANTEE- PUBLIC
Unit names using double names index as shown in the example below
   example Exxon Mobil – J. C. Clanton #1Unit
   Key -  EXXON MOBIL J C CLANTON #1UNIT"
UA,POOLED UNIT DECLARATION (or DESIGNATION),O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,UNIT NAME INFORMATION
POO,POOLING AGREEMENT,O,"signature- usually property owner, mineral owner, or royalty owner.  ",Unit name  OR if no Unit Name index LESSEE (Current Lessee,N," IF Lessee or Operator also sign, index as additional Grantees not Grantors.
 IF Title shows  Lease Being Ratified, Index both Unit Name and Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
  GRANTOR- LESSEE
  GRANTEE- PUBLIC
Unit names using double names index as shown in the example below
   example Exxon Mobil – J. C. Clanton #1Unit
   Key -  EXXON MOBIL J C CLANTON #1UNIT"
POO,POOLING AGREEMENT,O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,UNIT NAME INFORMATION
POO,POOLING AGREEMENT AND RATIFICATION OF LEASE,O,"signature- usually property owner, mineral owner, or royalty owner.  ",Unit name  OR if no Unit Name index LESSEE (Current Lessee,N," IF Lessee or Operator also sign, index as additional Grantees not Grantors.
 IF Title shows  Lease Being Ratified, Index both Unit Name and Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
  GRANTOR- LESSEE
  GRANTEE- PUBLIC
Unit names using double names index as shown in the example below
   example Exxon Mobil – J. C. Clanton #1Unit
   Key -  EXXON MOBIL J C CLANTON #1UNIT "
POO,POOLING AGREEMENT AND RATIFICATION OF LEASE,O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,UNIT NAME INFORMATION
POO,POOLING AUTHORIZATION,O,signature,"party authority given to, usually Lessee or Operator, & if present index Unit Name",N,
POO,POOLING DECLARATION,O,"signature- usually property owner, mineral owner, or royalty owner.  ",Unit name  OR if no Unit Name index LESSEE (Current Lessee,N," IF Lessee or Operator also sign, index as additional Grantees not Grantors.
 IF Title shows  Lease Being Ratified, Index both Unit Name and Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
  GRANTOR- LESSEE
  GRANTEE- PUBLIC
Unit names using double names index as shown in the example below
   example Exxon Mobil – J. C. Clanton #1Unit
   Key -  EXXON MOBIL J C CLANTON #1UNIT"
POO,POOLING DECLARATION,O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,UNIT NAME INFORMATION
POO,POOLING DESIGNATION,O,"signature- usually property owner, mineral owner, or royalty owner.  ",Unit name  OR if no Unit Name index LESSEE (Current Lessee,N," IF Lessee or Operator also sign, index as additional Grantees not Grantors.
 IF Title shows  Lease Being Ratified, Index both Unit Name and Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
  GRANTOR- LESSEE
  GRANTEE- PUBLIC
Unit names using double names index as shown in the example below
   example Exxon Mobil – J. C. Clanton #1Unit
   Key -  EXXON MOBIL J C CLANTON #1UNIT"
POO,POOLING DESIGNATION,O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,UNIT NAME INFORMATION
AG,POST-NUPTIAL MARRIAGE AGREEMENT,O,signatures,signatures,N,
PA,POWER OF ATTORNEY,O,signatory party ,"being appointed & alternates appointed, if any   (no title needed after name here)",N,"Explanation:  IF signatory party (Grantor) is said to be acting for multiple parties (usually Multiple Trust Funds), It is Not necessary to include those additional parties in the   indexing of this document."
AG,PRE-NUPTIAL MARRIAGE AGREEMENT,O,signatures,signatures,N,
AG,PRIOR LIENHOLDERS AGREEMENT,O,signature,"potential lender – usually ""U S A FARMERS HOME ADMINISTRATION""",N,
 LC,PRIVILEGED LIEN,O,signature  (usually City),claimed against,N,
PB,PROBATE PROCEEDINGS   (CERTIFIED COPY OF),O,estate  (use Deceased and/or Estate or Minor after name as shown on document.  If party is shown as incompetent/incapacitated  use Estate after Name),"""PUBLIC""",N,"Will Only – see W’s
Otherwise use this code (PB)
*use certified copy date for i/date
**If doc shows “Succession of” treat that
as “Estate of” & index ESTATE after name"
DEC,PROCLAMATION,O,signatory party,party proclamation is about,N,
NOTE,PROMISORY NOTE,O,borrower (sig.),lender,N,
APL,PROSPECT APPLICATION,O,"applicant & whom they represent, if any        ",applied to,N,
LIC,PSYCHOLOGISTS LICENSE/CERTIFICATE,O,issuing party,issued to,N,
AG,PURCHASE AGREEMENT,O,seller (signatory party),purchaser,N,
QC,QUITCLAIM,O,signatory party ,"quitclaimed to  Or ""PUBLIC""",N,
ASM,QUITCLAIM ASSIGNMENT OF MINERAL INTEREST,O,signatory party ,quitclaimed unto,N,
ASR,QUITCLAIM ASSIGNMENT OF ROYALTY INTEREST,O,signatory party ,quitclaimed unto,N,
QCD,QUITCLAIM DEED      (IF UNTITLED DOCUMENT USE QC = QUITCLAIM),O,signatory party ,quitclaimed unto,N,"*if from USA Internal Revenue Service dealing with redemption rights of seized 
  property, include, as additional grantors, the parties whose property was seized."
MD,QUITCLAIM MINERAL DEED,O,signatory party,party Minerals quitclaimed unto,N,
MC,QUITCLAIM OF MINERAL AND ROYALTY INTEREST,O,signatory party ,quitclaimed unto,N,
MC,QUITCLAIM OF MINERAL INTEREST,O,signatory party ,quitclaimed unto,N,
ROC,QUITCLAIM OF ROYALTY INTEREST,O,signatory party ,quitclaimed unto,N,
RYD,QUITCLAIM ROYALTY DEED,O,signatory party,party Royalty quitclaimed unto,N,
NO,RAILROAD COMMISSION OF TEXAS OIL & GAS DIVISION,O,"""TEXAS RAILROAD COMMISSION""",Operator & other parties (both usually listed on left & right directly below heading of document),N,
RAT,RATIFICATION,O,signatory party ,"ratified or ratified unto   Or  ""PUBLIC""",N,***Before using this code CHECK to see if document fits any of the Ratification Types set out       below.  
DO,RATIFICATION & DIVISION ORDER,O,lessor (sig.),"Current lessee, IF doc. contains information also about ratification of a UNIT, include the Unit Name as additional grantee.",N,
LS,RATIFICATION & EXTENSION OF LEASE,O,lessor (sig.),"Current lessee, IF doc. contains information also about ratification of a UNIT, include the Unit Name as additional grantee.",N,"IF Lessor does not sign, change Type to = EXT Grantor-signature          Grantee- other party"
OGL,"RATIFICATION & EXTENSION OF OIL, GAS & MINERAL LEASE",O,lessor (sig.),"Current lessee, IF doc. contains information also about ratification of a UNIT, include the Unit Name as additional grantee.",N,"IF Lessor does not sign, change Type to = EXT Grantor-signature          Grantee- other party"
LS,RATIFICATION & LEASE AMENDMENT,O,lessor (sig.),"Current lessee, IF doc. contains information also about ratification of a UNIT, include the Unit Name as additional grantee.",N,"IF Lessor does not sign, change Type to = AM Grantor-signature  Grantee- other party"
OGL,"RATIFICATION & OIL, GAS & MINERAL LEASE AMENDMENT",O,lessor (sig.),"Current lessee, IF doc. contains information also about ratification of a UNIT, include the Unit Name as additional grantee.",N,"IF Lessor does not sign, change Type to = AM Grantor-signature  Grantee- other party"
POO,RATIFICATION & POOLING AUTHORIZATION,O,signature,"party authority given to, usually Lessee or Operator, & if present index Unit Name",N,
POO,RATIFICATION & POOLING AUTHORIZATION,O,signature,"party authority given to, usually Lessee or Operator, & if present index Unit Name",N,
POO,RATIFICATION & POOLING AUTHORIZATION ,O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,"

UNIT NAME INFORMATION
Unit names using double names index as shown in the examples below
Example:  Standard Oil - John T. Joseph Gas Unit #1
Index:    STANDARD OIL JOHN T JOSEPH GAS UNIT #1
Example: H. L. Hunt – Lester E. Ewing Unit #4
Index:   HUNT H L LESTER E EWING UNIT #4
Example:  Barnwell Oil Unit No. 75, Well No. 1 (Jacob Bell, et al, Fee)
Index:  BARNWELL OIL UNIT #75 WELL #1 JACOB BELL ET AL FEE
Example:  Bethany (4300’ Glen Rose) North Unit
Index:  BETHANY 4300’ GLEN ROSE NORTH UNIT
"
RAT,RATIFICATION AGREEMENT,O,signatory party ,"ratified or ratified unto   Or  ""PUBLIC""",N,***Before using this code CHECK to see if document fits any of the Ratification Types set out       below.  
URA,"RATIFICATION OF AGREEMENT ENTITLED “UNIT AGREEMENT” , “UNIT OPERATING  AGREEMENT” or “POOLED UNIT AGREEMENT”",O,"signature   IF Lessee or Operator also sign, index as additional Grantees not Grantors.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
GRANTOR- LESSEE","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name and Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
GRANTEE- ""PUBLIC""",N,
URA,"RATIFICATION OF AGREEMENT ENTITLED “UNIT AGREEMENT”, “UNIT OPERATING AGREEMENT”, “POOLED UNIT DECLARATION”, LEASE RATIF. Or AMENDMENT, ROYALTY & RENTAL PAYMENT STIPULATIONS, RELEASE OR ________ AMENDMENT OF LEASE & RATIFICATION OF UNIT",O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,UNIT NAME INFORMATION
RAT,"RATIFICATION OF ASSIGNMENT (TRANSFER, CONVEYANCE)",O,signatory party ,"ratified or ratified unto   Or  ""PUBLIC""",N,***Before using this code CHECK to see if document fits any of the Ratification Types set out       below.  
RCD,RATIFICATION OF CONDOMINIUM DECLARATION,O,signatory party ,Condominium name,N,
,RATIFICATION OF DEED,O,,,N,"Use type of Deed being Ratified.
 Follow Grantor/Grantee instructions according to type of Deed being ratified.            

"
RLN,RATIFICATION OF DEED OF TRUST LIEN,O,signatory party  ,other parties,N,
RAT,RATIFICATION OF EASEMENT,O,signatory party ,"ratified or ratified unto   Or  ""PUBLIC""",N,***Before using this code CHECK to see if document fits any of the Ratification Types set out       below.  
LS,RATIFICATION OF LEASE,O,signatory party (lessor),Current lessee,N,"IF Lessor does not sign, change Type to = RAT Grantor-signature          Grantee- other party"
RLN,RATIFICATION OF LIEN ,O,signatory party  ,other parties,N,
RLN,RATIFICATION OF MECHANIC’S LIEN CONTRACT,O,signatory party  ,other parties,N,
OGL,"RATIFICATION OF OIL, GAS AND MINERAL LEASE",O,signatory party (lessor),Current lessee,N,"IF Lessor does not sign, change Type to = RAT Grantor-signature          Grantee- other party"
RPL,RATIFICATION OF PLAT,O,signatory party ,New Subdivision name,N,
URA,RATIFICATION OF POOLING AGREEMENT (or UNIT AGREEMENT) & STIPULATION OF INTERESTS,O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,"

UNIT NAME INFORMATION
Unit names using double names index as shown in the examples below
Example:  Standard Oil - John T. Joseph Gas Unit #1
Index:    STANDARD OIL JOHN T JOSEPH GAS UNIT #1
Example: H. L. Hunt – Lester E. Ewing Unit #4
Index:   HUNT H L LESTER E EWING UNIT #4
Example:  Barnwell Oil Unit No. 75, Well No. 1 (Jacob Bell, et al, Fee)
Index:  BARNWELL OIL UNIT #75 WELL #1 JACOB BELL ET AL FEE
Example:  Bethany (4300’ Glen Rose) North Unit
Index:  BETHANY 4300’ GLEN ROSE NORTH UNIT
"
RS,RATIFICATION OF RESTRICTIVE COVENANTS,O,signatory party,Property name,N,
